,Unnamed: 0,location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,foreign_worker,class,application_date,works_outside_US,kmeans_labels
249,249,"Stark, OH",Ohio,0.0,6.0,'no credits/all paid','new car',1204,0.0,1<=X<4,0,'male single',none,1,'no known property',35,bank,rent,1,skilled,1,no,Good,1/11/1995,no,0
250,250,"Summit, OH",Ohio,4844.17,24.0,'existing paid',Unknown,1925,84.16,1<=X<4,2,'male single',none,2,'real estate',26,none,own,1,skilled,1,yes,Good,1/12/1995,yes,0
251,251,"Hamilton, OH",Ohio,0.0,18.0,'existing paid',radio/tv,433,0.0,unemployed,3,'female div/dep/mar','co applicant',4,'real estate',22,none,rent,1,skilled,1,yes,Good,1/13/1995,yes,0
252,252,"Cuyahoga, OH",Ohio,-350.28,6.0,'critical/other existing credit','new car',666,2438.92,4<=X<7,3,'female div/dep/mar',none,0,'real estate',39,none,own,2,'unskilled resident',1,Unknown,Good,1/14/1995,Unknown,0
253,253,"Cuyahoga, OH",Ohio,2323.65,12.0,'existing paid',furniture/equipment,2251,9.33,1<=X<4,1,'female div/dep/mar',none,2,car,46,none,own,0,'unskilled resident',1,no,Good,1/15/1995,no,0
254,254,"Cuyahoga, OH",Ohio,84.68,30.0,'existing paid','new car',2150,47.59,1<=X<4,4,'female div/dep/mar',guarantor,2,'no known property',24,bank,own,0,Other,1,yes,Bad,1/16/1995,yes,0
255,255,"Cuyahoga, OH",Ohio,0.0,24.0,'delayed previously',furniture/equipment,4151,0.0,1<=X<4,2,'male single',none,3,'life insurance',35,none,own,0,skilled,1,yes,Bad,1/17/1995,yes,2
256,256,"Cuyahoga, OH",Ohio,39.8,9.0,'existing paid',furniture/equipment,2030,0.0,4<=X<7,2,'male single',Unknown,1,car,24,none,Other,1,skilled,1,no,Good,1/18/1995,no,0
257,257,"Franklin, OH",Ohio,49.03,20.0,'delayed previously',radio/tv,7418,0.0,1<=X<4,1,'male single',none,1,'real estate',27,none,own,1,'unskilled resident',1,yes,Bad,1/19/1995,yes,1
258,258,"Multnomah, OR",Oregon,0.0,24.0,'critical/other existing credit',Unknown,2684,0.0,1<=X<4,0,'male single',none,2,'real estate',35,none,own,2,'unskilled resident',1,no,Good,1/20/1995,no,2
259,259,"Dauphin, PA",Pennsylvania,-255.77,12.0,'all paid',radio/tv,2149,14.98,1<=X<4,4,Unknown,none,1,'no known property',29,none,'for free',1,Other,1,yes,Bad,1/21/1995,yes,0
260,260,"Delaware, PA",Pennsylvania,0.0,15.0,'existing paid','used car',3812,0.0,<1,1,'female div/dep/mar',Unknown,4,car,23,none,own,0,skilled,1,no,Good,1/22/1995,no,2
261,261,"Lancaster, PA",Pennsylvania,0.0,11.0,'critical/other existing credit',radio/tv,1154,0.0,unemployed,0,'female div/dep/mar',none,4,'real estate',57,Other,own,3,'unskilled resident',1,no,Good,1/23/1995,no,0
262,262,"Philadelphia, PA",Pennsylvania,-5536.22,12.0,no credit history,furniture/equipment,1657,45.58,1<=X<4,2,'male single',none,2,'real estate',31,none,own,1,skilled,1,yes,Good,1/24/1995,yes,0
263,263,"Providence, RI",Rhodes Island,-1579.52,24.0,'existing paid',radio/tv,1603,74.65,Unknown,4,Unknown,none,0,car,55,none,own,1,skilled,1,yes,Bad,1/25/1995,yes,0
264,264,"Anderson, SC",South Carolina,-1502.18,18.0,'critical/other existing credit','new car',5302,83.75,>=7,2,'male single',none,4,'no known property',36,none,'for free',3,'high qualif/self emp/mgmt',Unknown,no,Good,1/26/1995,no,2
265,265,"Charleston, SC",South Carolina,0.0,12.0,'critical/other existing credit',education,3234,0.0,Unknown,2,'female div/dep/mar',none,4,'no known property',57,bank,'for free',3,'unskilled resident',1,yes,Good,1/27/1995,yes,2
266,266,"Greenville, SC",South Carolina,0.0,10.0,'critical/other existing credit','new car',1231,0.0,>=7,3,'male single',none,0,'real estate',32,none,own,2,'unskilled resident',2,no,Bad,1/28/1995,no,0
267,267,"Horry, SC",South Carolina,135.62,15.0,'existing paid',radio/tv,802,73.76,Unknown,4,Unknown,none,3,Other,37,none,own,1,skilled,2,no,Good,1/29/1995,no,0
268,268,"Jasper, SC",South Carolina,0.0,36.0,'critical/other existing credit',business,6304,0.0,>=7,4,Unknown,none,4,'real estate',36,none,own,2,skilled,Unknown,no,Good,1/30/1995,no,2
269,269,"Lexington, SC",South Carolina,0.0,24.0,'existing paid',radio/tv,1533,0.0,<1,4,'female div/dep/mar',none,3,car,38,stores,own,1,skilled,1,yes,Good,1/31/1995,yes,0
270,270,"Spartanburg, SC",South Carolina,-517.47,14.0,'existing paid','new car',8978,85.21,>=7,1,'male div/sep',none,4,'life insurance',45,none,own,1,'high qualif/self emp/mgmt',1,no,Bad,2/1/1995,no,1
271,271,"Hughes, SD",South Dakota,0.0,24.0,'existing paid',radio/tv,999,0.0,>=7,0,'male single',none,2,car,31,none,own,2,skilled,1,yes,Good,2/2/1995,yes,0
272,272,"Hughes, SD",South Dakota,0.0,18.0,'existing paid','new car',2662,0.0,Unknown,4,'male single',none,0,'life insurance',32,none,Other,1,skilled,1,yes,Bad,2/3/1995,yes,0
273,273,"Hughes, SD",South Dakota,0.0,12.0,'critical/other existing credit',furniture/equipment,3234,0.0,4<=X<7,3,'female div/dep/mar',none,4,car,37,none,rent,1,skilled,1,no,Bad,2/4/1995,no,2
274,274,"Davidson, TN",Tennessee,171.45,48.0,'all paid','new car',12169,0.0,unemployed,4,'male single','co applicant',4,'no known property',36,none,'for free',1,'high qualif/self emp/mgmt',1,no,Good,2/5/1995,no,1
275,275,"Haywood, TN",Tennessee,187.45,48.0,'existing paid',radio/tv,3060,67.23,4<=X<7,0,Unknown,none,4,'real estate',28,none,Other,0,skilled,1,yes,Good,2/6/1995,yes,2
276,276,"Robertson, TN",Tennessee,-5525.31,30.0,no credit history,repairs,11998,38.84,<1,0,'male div/sep',none,0,Other,34,none,own,1,'unskilled resident',1,no,Good,2/7/1995,no,1
277,277,"Shelby, TN",Tennessee,0.0,9.0,'existing paid',radio/tv,3234,0.0,1<=X<4,0,Unknown,none,2,'real estate',32,none,own,1,skilled,2,yes,Good,2/8/1995,yes,2
278,278,"Dallas, TX",Texas,0.0,18.0,'critical/other existing credit',Unknown,3234,0.0,Unknown,0,'female div/dep/mar',none,2,car,26,none,own,2,skilled,1,no,Good,2/9/1995,no,2
279,279,"El Paso, TX",Texas,-6825.17,12.0,no credit history,furniture/equipment,1262,0.0,>=7,2,'male div/sep',Unknown,4,'life insurance',49,none,own,1,'unskilled resident',1,no,Good,2/10/1995,no,0
280,280,"El Paso, TX",Texas,0.0,6.0,'existing paid',furniture/equipment,4611,0.0,<1,1,'female div/dep/mar',Unknown,0,'life insurance',32,none,own,1,skilled,1,no,Good,2/11/1995,no,2
281,281,"Franklin, TX",Texas,0.0,24.0,no credit history,radio/tv,1901,0.0,1<=X<4,4,Unknown,Unknown,4,car,29,none,rent,1,'high qualif/self emp/mgmt',Unknown,no,Bad,2/12/1995,no,0
282,282,"Harris, TX",Texas,0.0,15.0,'critical/other existing credit',Unknown,3234,0.0,>=7,3,Unknown,none,4,'no known property',23,none,rent,2,skilled,1,yes,Good,2/13/1995,yes,2
283,283,"Harris, TX",Texas,0.0,12.0,'existing paid',furniture/equipment,1574,0.0,1<=X<4,4,'male single',none,2,'real estate',50,none,own,1,skilled,1,no,Bad,2/14/1995,no,0
284,284,"Hidalgo, TX",Texas,0.0,18.0,'all paid',radio/tv,1445,0.0,4<=X<7,4,Unknown,none,4,car,31,Other,own,1,'unskilled resident',1,no,Good,2/15/1995,no,0
285,285,"Jefferson, TX",Texas,0.0,15.0,'critical/other existing credit',Unknown,1520,0.0,>=7,4,'male single',none,4,'life insurance',63,none,own,1,skilled,1,no,Good,2/16/1995,no,0
286,286,"Jefferson, TX",Texas,19.48,24.0,no credit history,'new car',3878,384.02,<1,4,'male div/sep',none,2,car,31,Other,Other,1,skilled,1,yes,Good,2/17/1995,yes,2
287,287,"Nueces, TX",Texas,-5888.3,20.0,'existing paid','new car',3234,58.62,<1,1,'female div/dep/mar',Unknown,1,'real estate',35,none,own,1,'unskilled resident',1,no,Good,2/18/1995,no,2
288,288,"Potter, TX",Texas,-7579.53,48.0,'existing paid','used car',3234,24.62,4<=X<7,4,'male single',none,3,'life insurance',26,none,own,1,skilled,2,yes,Bad,2/19/1995,yes,2
289,289,"Tarrant, TX",Texas,130.14,48.0,'delayed previously',other,3234,376.5,unemployed,2,'male single',none,0,'no known property',31,none,'for free',1,'high qualif/self emp/mgmt',1,no,Good,2/20/1995,no,2
290,290,"Travis, TX",Texas,169.03,12.0,'existing paid',radio/tv,1092,26.55,1<=X<4,4,'female div/dep/mar',Unknown,4,'real estate',31,none,own,2,skilled,1,no,Good,2/21/1995,no,0
291,291,"Dallas, TX",Texas,-7872.78,24.0,no credit history,radio/tv,1024,0.0,<1,4,'male mar/wid',none,4,'real estate',48,stores,own,1,skilled,1,Unknown,Bad,2/22/1995,Unknown,0
292,292,"Harris, TX",Texas,0.0,12.0,'existing paid',business,1076,0.0,1<=X<4,2,Unknown,none,2,'real estate',26,Other,own,1,skilled,1,no,Bad,Feb-23-1995,no,0
293,293,"Bexar, TX",Texas,155.74,36.0,'existing paid','used car',9398,93.87,<1,1,'male mar/wid',none,4,car,28,none,rent,1,'high qualif/self emp/mgmt',1,yes,Good,2/24/1995,yes,1
294,294,"Salt Lake, UT",Utah,-9594.86,24.0,'critical/other existing credit','used car',6419,16.26,>=7,2,'female div/dep/mar',none,4,'no known property',44,none,'for free',2,'high qualif/self emp/mgmt',2,no,Bad,2/25/1995,no,2
295,295,"Accomack, VA",Virginia,7720.46,20.0,'critical/other existing credit','used car',3234,40.81,>=7,4,'male single',none,4,'no known property',56,none,'for free',1,skilled,1,no,Good,2/26/1995,no,2
296,296,"Prince William, VA",Virginia,0.0,48.0,'critical/other existing credit',business,7629,0.0,>=7,4,'male div/sep',none,2,car,46,bank,own,2,'high qualif/self emp/mgmt',2,no,Bad,2/27/1995,no,1
297,297,"Russell, VA",Virginia,61.96,48.0,'existing paid',furniture/equipment,9960,64.33,<1,1,Unknown,none,2,car,26,none,own,1,skilled,1,yes,Good,2/28/1995,yes,1
298,298,"Newport News, VA",Virginia,0.0,12.0,'existing paid','used car',4675,0.0,Unknown,1,'female div/dep/mar',none,4,car,20,none,rent,1,skilled,1,no,Bad,3/1/1995,no,2
299,299,"Norfolk, VA",Virginia,0.0,10.0,'existing paid',Unknown,1287,0.0,Unknown,4,'male single','co applicant',2,'life insurance',45,none,Other,1,'unskilled resident',1,yes,Good,3/2/1995,yes,0
300,300,"Portsmouth, VA",Virginia,0.0,18.0,no credit history,furniture/equipment,2515,0.0,1<=X<4,3,'male single',none,4,'real estate',43,none,own,0,skilled,1,yes,Bad,3/3/1995,yes,0
301,301,"Richmond, VA",Virginia,0.31,21.0,'critical/other existing credit',furniture/equipment,2745,1787.08,4<=X<7,3,'male single',none,2,car,32,none,own,2,skilled,1,Unknown,Good,3/4/1995,Unknown,2
302,302,"Kitsap, WA",Washington,0.0,6.0,'existing paid','new car',672,0.0,unemployed,1,'female div/dep/mar',none,4,'real estate',54,none,own,1,'unemp/unskilled non res',Unknown,no,Good,3/5/1995,no,0
303,303,"Pierce, WA",Washington,192.02,36.0,no credit history,radio/tv,3804,0.0,1<=X<4,4,'female div/dep/mar',none,1,car,42,none,own,1,skilled,Unknown,yes,Good,3/6/1995,yes,2
304,304,"Spokane, WA",Washington,5659.69,20.0,'critical/other existing credit','new car',1344,0.0,4<=X<7,4,'male single',none,0,'real estate',37,bank,own,2,'unskilled resident',2,no,Good,3/7/1995,no,0
305,305,"Milwaukee, WI",Wisconsin,-8464.44,10.0,'critical/other existing credit',Unknown,1038,38.82,4<=X<7,4,'male single','co applicant',0,Other,49,none,Other,2,skilled,1,yes,Bad,3/8/1995,yes,0
306,306,"Anchorage, AK",Alaska,0.0,48.0,'critical/other existing credit','new car',3234,0.0,1<=X<4,2,'male single',none,2,'no known property',44,bank,Other,1,skilled,1,yes,Bad,3/9/1995,yes,2
307,307,"Maricopa, AZ",Arizona,0.0,6.0,no credit history,furniture/equipment,1543,0.0,1<=X<4,4,'male div/sep',none,2,'real estate',33,none,own,1,skilled,1,yes,Good,3/10/1995,yes,0
308,308,"Maricopa, AZ",Arizona,0.0,20.0,'existing paid','used car',4811,0.0,4<=X<7,2,'female div/dep/mar',none,0,'life insurance',24,stores,rent,1,'unskilled resident',1,no,Good,3/11/1995,no,2
309,309,"Pima, AZ",Arizona,-8135.03,12.0,'existing paid',radio/tv,727,473.67,<1,4,'male mar/wid',none,3,'no known property',33,none,own,1,'unskilled resident',1,yes,Bad,3/12/1995,yes,0
310,310,"Alameda, CA",California,0.0,8.0,no credit history,furniture/equipment,1237,0.0,1<=X<4,3,'female div/dep/mar',none,4,'real estate',24,none,own,1,skilled,1,no,Bad,3/13/1995,no,0
311,311,"Kern, CA",California,0.0,9.0,'existing paid','new car',276,0.0,1<=X<4,4,'male mar/wid',none,4,'real estate',31,none,rent,0,'unskilled resident',Unknown,no,Bad,3/14/1995,no,0
312,312,"Los Angeles, CA",California,192.16,48.0,no credit history,other,5381,0.0,unemployed,3,Unknown,none,4,'no known property',40,bank,'for free',1,'unemp/unskilled non res',1,no,Good,3/15/1995,no,2
313,313,"Los Angeles, CA",California,0.0,24.0,'existing paid',furniture/equipment,5511,0.0,1<=X<4,4,'male single',none,1,car,25,stores,Other,1,skilled,1,no,Good,3/16/1995,no,2
314,314,"San Francisco, CA",California,797.21,24.0,no credit history,furniture/equipment,3234,98.87,Unknown,2,Unknown,none,4,car,26,none,own,1,skilled,1,yes,Bad,3/17/1995,yes,2
315,315,"Los Angeles, CA",California,137.41,12.0,'existing paid',Unknown,685,38.95,4<=X<7,2,'male mar/wid',none,3,car,25,bank,own,1,'unskilled resident',1,yes,Good,3/18/1995,yes,0
316,316,"Sacramento, CA",California,4365.37,4.0,'existing paid','new car',1494,0.0,<1,1,'male single',none,0,Other,29,none,own,1,'unskilled resident',2,yes,Good,3/19/1995,yes,0
317,317,"Sacramento, CA",California,-5992.61,36.0,'all paid',furniture/equipment,2746,27.23,>=7,4,'male single',Unknown,4,car,31,bank,own,1,Other,1,no,Good,3/20/1995,no,2
318,318,"San Bernardino, CA",California,-3145.9,12.0,'existing paid',furniture/equipment,708,0.0,Unknown,2,'male single',guarantor,3,'life insurance',38,Other,own,1,'unskilled resident',2,no,Good,3/21/1995,no,0
319,319,"San Diego, CA",California,77.88,24.0,'existing paid',furniture/equipment,3234,0.0,1<=X<4,1,'female div/dep/mar',none,4,'life insurance',48,none,own,1,Other,1,Unknown,Good,3/22/1995,Unknown,2
320,320,"San Francisco, CA",California,0.0,12.0,no credit history,education,701,0.0,1<=X<4,4,'male single',none,2,car,32,none,own,2,skilled,1,yes,Bad,3/23/1995,yes,0
321,321,"El Paso, CO",Colorado,-3417.74,15.0,'delayed previously',furniture/equipment,3643,16.7,>=7,1,'female div/dep/mar',none,0,'life insurance',27,none,own,2,'unskilled resident',1,yes,Bad,3/24/1995,yes,2
322,322,"Denver, CO",Colorado,122.0,30.0,'critical/other existing credit',Unknown,4249,90.83,unemployed,4,'male mar/wid',none,2,car,28,none,Other,2,'high qualif/self emp/mgmt',1,yes,Good,3/25/1995,yes,2
323,323,"Hartford, CT",Connecticut,-4562.14,24.0,'existing paid',radio/tv,1938,17.04,<1,4,'male div/sep',none,3,'life insurance',32,none,Other,1,skilled,1,yes,Bad,3/26/1995,yes,0
324,324,District of Columbia,District of Columbia,-3923.01,24.0,'existing paid','used car',2910,74.32,4<=X<7,2,Unknown,Unknown,1,'no known property',34,none,'for free',1,'high qualif/self emp/mgmt',1,no,Good,3/27/1995,no,2
325,325,"Chatham, GA",Georgia,-7400.92,18.0,no credit history,furniture/equipment,2659,5806.39,1<=X<4,4,'male single',none,2,car,28,none,Other,1,skilled,1,yes,Good,3/28/1995,yes,0
326,326,"Clayton, GA",Georgia,0.0,18.0,'critical/other existing credit','new car',1028,0.0,1<=X<4,4,'female div/dep/mar',Unknown,3,'real estate',36,none,own,2,skilled,1,no,Bad,3/29/1995,no,0
327,327,"De Kalb, GA",Georgia,-3324.64,8.0,'critical/other existing credit','new car',3398,61.33,4<=X<7,1,Unknown,none,4,'real estate',39,none,own,2,'unskilled resident',1,no,Bad,3/30/1995,no,2
328,328,"Fulton, GA",Georgia,0.0,12.0,'critical/other existing credit',furniture/equipment,3234,0.0,>=7,2,'male single',none,4,'life insurance',49,none,rent,1,skilled,1,no,Bad,3/31/1995,no,2
329,329,"Fulton, GA",Georgia,0.0,24.0,'existing paid','new car',1525,0.0,4<=X<7,4,'female div/dep/mar',Unknown,3,car,34,none,own,1,skilled,2,yes,Good,4/1/1995,yes,0
330,330,"Cook, IL",Illinois,6300.38,36.0,'existing paid',radio/tv,4473,46.6,>=7,4,'male single',none,2,car,31,none,own,1,skilled,Unknown,yes,Good,4/2/1995,yes,2
331,331,"Marion, IN",Indiana,0.0,20.0,no credit history,Unknown,3234,0.0,Unknown,0,Unknown,Unknown,0,Other,31,Other,Other,0,Other,Unknown,Unknown,Good,4/3/1995,Unknown,2
332,332,"Jefferson, KY",Kentucky,94.48,6.0,'existing paid',radio/tv,1068,73.19,>=7,4,'male single',none,4,car,28,none,own,1,skilled,2,yes,Good,4/4/1995,yes,0
333,333,"Caddo, LA",Louisiana,-8908.55,24.0,'critical/other existing credit','used car',6615,58.88,Unknown,2,'male single',none,4,'no known property',75,none,Other,2,'high qualif/self emp/mgmt',1,no,Bad,4/5/1995,no,2
334,334,"East Baton Rouge, LA",Louisiana,0.0,18.0,'critical/other existing credit',education,1864,0.0,1<=X<4,4,Unknown,none,2,'real estate',30,none,own,2,skilled,1,yes,Good,4/6/1995,yes,0
335,335,"Jefferson, LA",Louisiana,106.45,60.0,'existing paid','new car',7408,479.08,<1,4,Unknown,none,2,Other,24,none,own,1,'high qualif/self emp/mgmt',1,no,Good,4/7/1995,no,1
336,336,"Orleans, LA",Louisiana,0.0,48.0,'critical/other existing credit','used car',11590,0.0,1<=X<4,2,'female div/dep/mar',none,4,car,24,bank,rent,0,'unskilled resident',1,yes,Good,4/8/1995,yes,1
337,337,"Suffolk, MA",Massachusetts,-596.17,24.0,'no credits/all paid',furniture/equipment,4110,95.01,Unknown,3,'male single',none,0,'no known property',31,bank,Other,2,skilled,2,no,Bad,4/9/1995,no,2
338,338,"Anne Arundel, MD",Maryland,-1018.74,6.0,'critical/other existing credit',furniture/equipment,3384,98.78,1<=X<4,1,'male div/sep',none,4,'real estate',44,none,rent,1,'high qualif/self emp/mgmt',1,yes,Bad,4/10/1995,yes,2
339,339,"Baltimore city, MD",Maryland,145.59,13.0,'existing paid',radio/tv,2101,66.57,<1,2,'female div/dep/mar',guarantor,4,'life insurance',23,none,own,1,'unskilled resident',1,yes,Good,4/11/1995,yes,0
340,340,"Saginaw, MI",Michigan,-6090.13,15.0,'existing paid','domestic appliance',3234,0.0,1<=X<4,4,'female div/dep/mar',none,2,car,24,Other,rent,1,skilled,1,no,Bad,4/12/1995,no,2
341,341,"Wayne, MI",Michigan,-5498.76,24.0,'existing paid',furniture/equipment,4169,68.48,1<=X<4,4,'male single',Unknown,0,'life insurance',28,Other,own,1,skilled,1,no,Good,4/13/1995,no,2
342,342,"Greene, MO",Missouri,103.39,10.0,'existing paid',furniture/equipment,3234,93.87,1<=X<4,4,'male div/sep',none,2,car,31,Other,own,1,'unskilled resident',1,yes,Good,4/14/1995,yes,2
343,343,"Jackson, MO",Missouri,163.9,24.0,'critical/other existing credit',education,5743,45.64,<1,2,'female div/dep/mar',none,4,'no known property',31,none,'for free',2,skilled,1,yes,Bad,4/15/1995,yes,2
344,344,"Rolla, MO",Missouri,-6405.45,21.0,'existing paid',furniture/equipment,3234,59.79,4<=X<7,1,'female div/dep/mar',none,4,car,31,none,rent,1,'unskilled resident',1,no,Good,4/16/1995,no,2
345,345,"Forrest, MS",Mississippi,193.31,18.0,'existing paid',radio/tv,3213,0.0,<1,1,'male mar/wid',none,3,'real estate',25,none,rent,1,skilled,Unknown,no,Good,4/17/1995,no,2
346,346,"Hinds, MS",Mississippi,116.75,18.0,'existing paid',Unknown,4439,65.84,>=7,1,'male single','co applicant',1,'real estate',33,bank,own,1,'high qualif/self emp/mgmt',1,yes,Good,4/18/1995,yes,2
347,347,"Nash, NC",North Carolina,2557.93,10.0,'existing paid','new car',3949,0.75,<1,1,'male single',Unknown,0,'life insurance',37,none,own,1,Other,2,no,Good,4/19/1995,no,2
348,348,"Guilford, NC",North Carolina,0.0,15.0,'critical/other existing credit',radio/tv,1459,0.0,1<=X<4,4,'female div/dep/mar',none,2,car,43,none,own,1,'unskilled resident',1,yes,Good,4/20/1995,yes,0
349,349,"Mecklenburg, NC",North Carolina,134.6,20.0,'critical/other existing credit',radio/tv,882,0.0,<1,4,'male single',Unknown,4,'real estate',23,none,own,2,skilled,Unknown,yes,Bad,4/21/1995,yes,0
350,350,"Hillsborough, NH",New Hampshire,155.32,24.0,'existing paid',radio/tv,3758,623.93,unemployed,1,'female div/dep/mar',none,0,'no known property',23,none,rent,1,'unemp/unskilled non res',1,no,Bad,4/22/1995,no,2
351,351,"Camden, NJ",New Jersey,0.0,6.0,'delayed previously',business,1743,0.0,1<=X<4,0,'male single',none,2,'real estate',34,none,Other,2,'unskilled resident',Unknown,yes,Good,4/23/1995,yes,0
352,352,"Mercer, NJ",New Jersey,68.16,9.0,'critical/other existing credit',education,1136,0.0,>=7,4,'male single',none,3,Other,32,none,'for free',0,Other,2,no,Good,4/24/1995,no,0
353,353,"Passaic, NJ",New Jersey,0.0,9.0,'existing paid','domestic appliance',1236,0.0,<1,1,'female div/dep/mar',none,4,'real estate',23,none,rent,1,skilled,1,yes,Bad,4/25/1995,yes,0
354,354,"Passaic, NJ",New Jersey,9.39,9.0,'existing paid',furniture/equipment,3234,83.12,1<=X<4,1,'female div/dep/mar',none,0,Other,29,none,own,1,skilled,1,yes,Bad,4/26/1995,yes,2
355,355,"Essex, NJ",New Jersey,0.0,18.0,'critical/other existing credit','used car',3229,0.0,unemployed,2,'male single',none,0,'no known property',38,none,Other,1,'high qualif/self emp/mgmt',1,yes,Good,4/27/1995,yes,2
356,356,"Bernalillo, NM",New Mexico,-5039.28,12.0,'no credits/all paid',radio/tv,3234,84.14,1<=X<4,4,'male single',none,2,Other,28,none,rent,0,skilled,1,no,Good,4/28/1995,no,2
357,357,"Clark, NV",Nevada,0.0,10.0,'existing paid',education,727,0.0,>=7,4,'male single',none,4,'no known property',31,none,'for free',1,skilled,1,yes,Good,4/29/1995,yes,0
358,358,"Washoe, NV",Nevada,0.0,24.0,'existing paid','new car',1246,0.0,<1,4,'male single',none,2,'real estate',23,stores,own,1,'unskilled resident',1,yes,Good,4/30/1995,yes,0
359,359,"Erie, NY",New York,0.0,12.0,'critical/other existing credit',radio/tv,2331,0.0,>=7,1,'male single',Unknown,4,'real estate',49,none,own,1,skilled,1,no,Good,5/1/1995,no,0
360,360,"Erie, NY",New York,0.0,36.0,'delayed previously',radio/tv,3234,0.0,1<=X<4,4,'male single',none,2,Other,31,none,own,2,'high qualif/self emp/mgmt',1,no,Good,5/2/1995,no,2
361,361,"Monroe, NY",New York,0.0,12.0,'existing paid',radio/tv,776,0.0,1<=X<4,4,'male mar/wid',none,2,'real estate',28,none,Other,1,skilled,1,no,Bad,5/3/1995,no,0
362,362,"New York, NY",New York,-4887.82,30.0,'existing paid',furniture/equipment,2406,32.57,Unknown,4,'female div/dep/mar',none,4,'real estate',23,none,Other,1,skilled,1,no,Good,5/4/1995,no,0
363,363,"Onondaga, NY",New York,85.71,18.0,'existing paid',education,1239,0.0,1<=X<4,4,'male single',none,4,'no known property',61,Other,Other,1,skilled,1,no,Bad,5/5/1995,no,0
364,364,"Suffolk, NY",New York,0.0,12.0,'existing paid',radio/tv,3399,0.0,Unknown,2,'male single',none,3,Other,37,none,own,1,'high qualif/self emp/mgmt',1,Unknown,Good,5/6/1995,Unknown,2
365,365,"Mahoning, OH",Ohio,9712.82,12.0,no credit history,'new car',2247,5.02,1<=X<4,2,'female div/dep/mar',none,2,car,36,stores,own,2,skilled,1,no,Bad,5/7/1995,no,0
366,366,"Summit, OH",Ohio,0.0,6.0,'existing paid',furniture/equipment,1766,0.0,1<=X<4,0,'male mar/wid',Unknown,2,'life insurance',21,none,rent,0,skilled,1,yes,Good,5/8/1995,yes,0
367,367,"Hamilton, OH",Ohio,-3712.31,18.0,'existing paid',furniture/equipment,2473,0.0,unemployed,4,'male single',none,0,car,25,none,Other,1,'unemp/unskilled non res',1,yes,Good,5/9/1995,yes,0
368,368,"Cuyahoga, OH",Ohio,0.0,12.0,no credit history,business,1542,0.0,4<=X<7,2,'male single',none,4,car,36,Other,own,1,skilled,1,no,Good,5/10/1995,no,0
369,369,"Cuyahoga, OH",Ohio,0.0,18.0,'critical/other existing credit','used car',3850,0.0,4<=X<7,3,'male single',none,1,Other,27,none,own,2,skilled,Unknown,Unknown,Good,5/11/1995,Unknown,2
370,370,"Franklin, OH",Ohio,0.0,18.0,'existing paid',furniture/equipment,3650,0.0,<1,1,'female div/dep/mar',none,4,car,31,none,rent,1,skilled,1,no,Good,5/12/1995,no,2
371,371,"Dauphin, PA",Pennsylvania,-1319.16,36.0,'existing paid',furniture/equipment,3446,35.38,>=7,4,'male single',Unknown,2,car,31,none,own,0,skilled,2,yes,Good,5/13/1995,yes,2
372,372,"Philadelphia, PA",Pennsylvania,94.62,18.0,'existing paid',furniture/equipment,3001,0.0,4<=X<7,0,'female div/dep/mar',Unknown,4,'real estate',40,none,rent,1,skilled,1,no,Bad,5/14/1995,no,2
373,373,"Charleston, SC",South Carolina,0.0,36.0,'existing paid','new car',3079,0.0,1<=X<4,4,'male single',none,4,'real estate',36,none,own,1,skilled,1,yes,Good,5/15/1995,yes,2
374,374,"Greenville, SC",South Carolina,0.0,18.0,'critical/other existing credit',radio/tv,6070,0.0,>=7,3,'male single',none,4,car,33,none,own,2,skilled,1,no,Bad,5/16/1995,no,2
375,375,"Greenville, SC",South Carolina,0.0,10.0,'critical/other existing credit',furniture/equipment,2146,0.0,<1,0,'female div/dep/mar',none,3,'real estate',23,Other,rent,2,skilled,1,no,Good,5/17/1995,no,0
376,376,"Horry, SC",South Carolina,0.0,60.0,'critical/other existing credit','new car',13756,0.0,>=7,2,'male single',none,4,'no known property',63,bank,'for free',1,'high qualif/self emp/mgmt',1,Unknown,Good,5/18/1995,Unknown,1
377,377,"Jasper, SC",South Carolina,17.17,60.0,'all paid',other,14782,179.18,>=7,3,'female div/dep/mar',none,0,'no known property',60,bank,'for free',0,'high qualif/self emp/mgmt',Unknown,yes,Good,5/19/1995,yes,1
378,378,"Davidson, TN",Tennessee,-1282.34,48.0,'all paid',business,7685,17.26,4<=X<7,2,'female div/dep/mar',guarantor,4,car,37,none,rent,1,skilled,1,no,Bad,5/20/1995,no,1
379,379,"Shelby, TN",Tennessee,0.0,18.0,'delayed previously',radio/tv,3234,0.0,Unknown,2,'male mar/wid',Unknown,3,'real estate',34,none,own,0,skilled,1,Unknown,Bad,5/21/1995,Unknown,2
380,380,"El Paso, TX",Texas,0.0,7.0,'delayed previously',Unknown,3234,0.0,Unknown,3,'male single',none,4,'no known property',36,none,'for free',1,skilled,1,Unknown,Bad,5/22/1995,Unknown,2
381,381,"Harris, TX",Texas,40.41,36.0,'existing paid','new car',14318,19.21,>=7,0,'male single',none,0,'no known property',57,Other,'for free',1,'high qualif/self emp/mgmt',1,yes,Bad,5/23/1995,yes,1
